Chromosome	centromere_start	centromere_end	chromlength	Qlength	Plength
1	121535434	124535434	249698942	124715187	121535434
2	92326171	95326171	242508799	147873202	92326171
3	90504854	93504854	198450956	104517576	90504854
4	49660117	52660117	190424264	138494159	49660117
5	46405641	49405641	181630948	131509619	46405641
6	58830166	61830166	170805979	109284901	58830166
7	58054331	61054331	159345973	98084332	58054331
8	43838887	46838887	145138636	99525135	43838887
9	47367679	50367679	138688728	90845752	47367679
10	39254935	42254935	133797422	93279812	39254935
11	51644205	54644205	135186938	80362311	51644205
12	34856694	37856694	133275309	95995201	34856694
13	16000000	19000000	114364328	96169878	16000000
14	16000000	19000000	108136338	88349540	16000000
15	17000000	20000000	102439437	82531392	17000000
16	35335801	38335801	92211104	52018952	35335801
17	22263006	25263006	83836422	55932204	22263006
18	15460898	18460898	80373285	59616350	15460898
19	24681782	27681782	58617616	31447201	24681782
20	26369569	29369569	64444167	33655951	26369569
21	11288129	14288129	46709983	33841766	11288129
22	13000000	16000000	51857516	35304566	13000000
23	60500000	63800000	156040895	92240895	60500000
